# Vowel Parts
0xB0 0xE430
0xB1 0xE431
0xB2 0xE432
0xB3 0xE433
0xB4 0xE434
0xB5 0xE435
0xB6 0xE436
0xB7 0xE437
0xB8 0xE438
0xB9 0xE439
0xBA 0xE43A
0xBB 0xE43B
0xBC 0xE43C

# Consonant Parts
0xC0 0xE440
0xC1 0xE441
0xC2 0xE442
0xC3 0xE443
0xC4 0xE444
0xC5 0xE445
0xC6 0xE446
0xC7 0xE447
0xC8 0xE448
0xC9 0xE449
0xCA 0xE44A
0xCB 0xE44B
0xCC 0xE44C
0xCD 0xE44D
0xCE 0xE44E
0xCF 0xE44F
0xD0 0xE450
0xD1 0xE451
0xD2 0xE452
0xD3 0xE453
0xD4 0xE454
0xD5 0xE455
0xD6 0xE456
0xD7 0xE457
0xD8 0xE458
0xD9 0xE459
0xDA 0xE45A
0xDB 0xE45B
0xDC 0xE45C
0xDD 0xE45D
0xDE 0xE45E
0xDF 0xE45F
0xE0 0xE460
0xE1 0xE461
0xE2 0xE462
0xE3 0xE463
0xE4 0xE464
0xE5 0xE465
0xE6 0xE466
0xE7 0xE467
0xE8 0xE468
0xE9 0xE469
0xEA 0xE46A
0xEB 0xE46B
0xEC 0xE46C
0xED 0xE46D
0xEE 0xE46E
0xEF 0xE46F
0xF0 0xE470
0xF1 0xE471
0xF2 0xE472
0xF3 0xE473
0xF4 0xE474
0xF5 0xE475
0xF6 0xE476
0xF7 0xE477
0xF8 0xE478
0xF9 0xE479
0xFA 0xE47A
0xFB 0xE47B
0xFC 0xE47C
0xFD 0xE47D
0xFE 0xE47E
0xFF 0xE47F
